time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,2bbadc8d521f4240a166e1166e3774e3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,2bbadc8d521f4240a166e1166e3774e3,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,10,0.0
2020-02-10 09:30:00-05:00,MLTrader,bc7f82a75087465685e235b0bb022273,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,bc7f82a75087465685e235b0bb022273,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,10,0.0
2020-02-13 09:30:00-05:00,MLTrader,da27801f28a74ee4b691167302a4cd1e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,da27801f28a74ee4b691167302a4cd1e,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,10,0.0
2020-03-02 09:30:00-05:00,MLTrader,5dda01e2433f4c0cb875c50485d0f418,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-02 09:30:00-05:00,MLTrader,5dda01e2433f4c0cb875c50485d0f418,SPY,sell,market,fill,1,gtc,0.0,1,stock,298.2099914550781,10,0.0
2020-03-03 09:30:00-05:00,MLTrader,e86efe95105746b9aced610b303d62da,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-03 09:30:00-05:00,MLTrader,39eb4918707849cfb82838ac7fa13a43,SPY,buy,stop,fill,1,day,0.0,1,stock,313.12049102783203,10,0.0
2020-03-06 09:30:00-05:00,MLTrader,ff406cc3c1914795bc04176c749c1bf2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,ff406cc3c1914795bc04176c749c1bf2,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,10,0.0
2020-03-09 09:30:00-04:00,MLTrader,853dd4f1c2ba48e4b997c94cd0995a60,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,853dd4f1c2ba48e4b997c94cd0995a60,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,10,0.0
2020-03-11 09:30:00-04:00,MLTrader,b2dabc432a684aaa8fdce7cc3244c9eb,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,3472327e029941c2b3fff967a64a5fc7,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,10,0.0
2020-03-11 09:30:00-04:00,MLTrader,cf4b3df033174740b3fe505fcef5aad8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,54dc3df83cdf4c2ca260f33e57afd6f4,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,10,0.0
2020-03-11 09:30:00-04:00,MLTrader,e7d4881a5a764afbb7b18d1e4ec58198,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,6a9e984af99544a697efa73bb89ee3a4,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,10,0.0
2020-03-17 09:30:00-04:00,MLTrader,7d796dfe0dc24971aa4d0e7716292296,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,MLTrader,e361e8c1800941568e212eab909d6114,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,10,0.0
2020-04-13 09:30:00-04:00,MLTrader,913d10083b204dfc9aae97ac922b3f85,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,913d10083b204dfc9aae97ac922b3f85,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,10,0.0
2020-04-27 09:30:00-04:00,MLTrader,bbb3594f958345dbb6de380f518d48da,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,3b2ae5b0cfdc49a785c89199549c3d56,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,e963eca037514729b2a32de92e56a500,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,35e3d31275ed4696b28230c0488d245a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,7fd88508406a40dfb847022ef74abbab,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,241c125df53742f597c094bf5e7aee73,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,7fd88508406a40dfb847022ef74abbab,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,20.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,241c125df53742f597c094bf5e7aee73,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,10,0.0
2020-05-11 09:30:00-04:00,MLTrader,385e3a6e65a44de79a7b1b2a86e2b0cb,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-05-11 09:30:00-04:00,MLTrader,0c1f8d1956674fa7971702991a495bdf,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-11 09:30:00-04:00,MLTrader,16796a216c70492dbe850be8381c53cd,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-05-11 09:30:00-04:00,MLTrader,23837d8ae4bd4997b8c915863d4f770f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-05-11 09:30:00-04:00,MLTrader,16796a216c70492dbe850be8381c53cd,SPY,sell,market,fill,1,day,0.0,1,stock,293.7900085449219,10.0,0.0
2020-05-11 09:30:00-04:00,MLTrader,23837d8ae4bd4997b8c915863d4f770f,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.7900085449219,10,0.0
2020-05-18 09:30:00-04:00,MLTrader,a96eb76720ac410daff5db72add093fe,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-05-18 09:30:00-04:00,MLTrader,8341bf6f9d674daa80c375690e2b54e7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-05-18 09:30:00-04:00,MLTrader,b62fd44b0f124af58452ebac4b7ac2f1,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-05-18 09:30:00-04:00,MLTrader,2fa94c83825b4094ae39ecce7e1a84e1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-05-18 09:30:00-04:00,MLTrader,b62fd44b0f124af58452ebac4b7ac2f1,SPY,buy,market,fill,1,day,0.0,1,stock,294.3500061035156,10.0,0.0
2020-05-18 09:30:00-04:00,MLTrader,2fa94c83825b4094ae39ecce7e1a84e1,SPY,buy,market,fill,1,gtc,0.0,1,stock,294.3500061035156,10,0.0
2020-06-11 09:30:00-04:00,MLTrader,280b2a24d2994e89a1f976f6156644dc,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-11 09:30:00-04:00,MLTrader,9a94f3eea5f543e8a7217dec7b5116e7,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-11 09:30:00-04:00,MLTrader,9d5d7f35139b48a6980d27f9bf6be3a2,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-11 09:30:00-04:00,MLTrader,bf6da9260674475cad70c83cd14f58b5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-11 09:30:00-04:00,MLTrader,9d5d7f35139b48a6980d27f9bf6be3a2,SPY,sell,market,fill,1,day,0.0,1,stock,308.239990234375,10.0,0.0
2020-06-11 09:30:00-04:00,MLTrader,bf6da9260674475cad70c83cd14f58b5,SPY,sell,market,fill,1,gtc,0.0,1,stock,308.239990234375,10,0.0
2020-06-15 09:30:00-04:00,MLTrader,6fdf05ac767b47b68624090d66b1ce56,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,6fdf05ac767b47b68624090d66b1ce56,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,10,0.0
2020-06-17 09:30:00-04:00,MLTrader,165c237bee4f46a385b379beb75db1ff,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-17 09:30:00-04:00,MLTrader,165c237bee4f46a385b379beb75db1ff,SPY,sell,market,fill,1,gtc,0.0,1,stock,310.010009765625,10,0.0
2020-06-22 09:30:00-04:00,MLTrader,6a3fcbcd683742cf8cd9c2795416eac9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,6a3fcbcd683742cf8cd9c2795416eac9,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,10,0.0
2020-06-25 09:30:00-04:00,MLTrader,3a58ea7f3dea447ea22362bb95d54248,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,372697e76b8e4ede904de4e33752b691,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,d08e9a9d3d664f20818f5730699cf8ab,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,9a7bebe55cd449479a2029947b353479,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,abc8153281264f59b4439c035e0b94b1,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,267cf99cb400481eaa2445c1cf6fe83e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,823913c722b04700967ff8afa86f7641,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,69281768e5ea4c718bf431e075b6c520,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,311aa5adca0f4d8882162cde348c4a37,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,251b71bb18904c7baf419d80481d92ec,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,311aa5adca0f4d8882162cde348c4a37,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,40.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,251b71bb18904c7baf419d80481d92ec,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,10,0.0
2020-06-30 09:30:00-04:00,MLTrader,b4332dca3aca42a29178763fc23f4536,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-30 09:30:00-04:00,MLTrader,0a669c50d2a34f8da6486aed762f06d6,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-30 09:30:00-04:00,MLTrader,61b71e21ac694ac1963ca48df0fa364b,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-30 09:30:00-04:00,MLTrader,23268e85b1094e63a141d451c4f3b70c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-30 09:30:00-04:00,MLTrader,61b71e21ac694ac1963ca48df0fa364b,SPY,sell,market,fill,1,day,0.0,1,stock,309.57000732421875,10.0,0.0
2020-06-30 09:30:00-04:00,MLTrader,23268e85b1094e63a141d451c4f3b70c,SPY,sell,market,fill,1,gtc,0.0,1,stock,309.57000732421875,10,0.0
2020-07-01 09:30:00-04:00,MLTrader,99ed79ee683c4be499756fa9357f9f7a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-07-01 09:30:00-04:00,MLTrader,283d619cb62540b99c613c43de15ef79,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
